Container,SKU,UPC,Title,Inventory Type,Quantity,Length,Width,Height,Dimension Unit,Weight,Weight Unit,Expiration Date,Lot Number,Flexible?,Hazmat?,Hazmat Exceptions,Remarks
DMG,B09YKYV9N9,,"Charmin Ultra Strong Clean Touch Toilet Paper, 24 Family Mega Rolls = 120 Regular Rolls",DAMAGED_BY_CARRIER,1,16.299999983374,15.9799999837004,10.1549999896419,IN,7.44941983298,LB,,,no,no,,[]
DMG,B09YKYV9N9,,"Charmin Ultra Strong Clean Touch Toilet Paper, 24 Family Mega Rolls = 120 Regular Rolls",DAMAGED_BY_CARRIER,19,16.299999983374,15.9799999837004,10.1549999896419,IN,7.44941983298,LB,,,no,no,,[]
DMG,B09YL81PWH,,"Puffs Ultra Soft Non-Lotion Tissues, 10 Cubes, 56 Tissues Per Box",DAMAGED_BY_CARRIER,6,23.2299999763054,8.99999999082,5.699999994186,IN,3.69053826588,LB,,,no,no,,[]
DMG,B09YL8TX5K,,"Puffs Ultra Soft Non-Lotion Facial Tissue, 8 Family Boxes, 124 Facial Tissues per Box",DAMAGED_BY_CARRIER,8,18.49999998113,10.249999989545,8.049999991789,IN,5.35061909874,LB,,,no,no,,[]
DMG,B09YL8TX5K,,"Puffs Ultra Soft Non-Lotion Facial Tissue, 8 Family Boxes, 124 Facial Tissues per Box",DAMAGED_BY_CARRIER,5,18.49999998113,10.249999989545,8.049999991789,IN,5.35061909874,LB,,,no,no,,[]
DMG,B09YLCVLSQ,,"Charmin Ultra Strong Clean Touch Toilet Paper, 30 Family Mega Rolls = 150 Regular Rolls",DAMAGED_BY_CARRIER,11,20.199999979396,15.99999998368,10.199999989596,IN,8.60023284062,LB,,,no,no,,[]
DMG,B09YLCVLSQ,,"Charmin Ultra Strong Clean Touch Toilet Paper, 30 Family Mega Rolls = 150 Regular Rolls",DAMAGED_BY_CARRIER,1,20.199999979396,15.99999998368,10.199999989596,IN,8.60023284062,LB,,,no,no,,[]
DMG,B09YLMRM4Y,,"Puffs Plus Lotion Facial Tissues, 10 Cubes, 56 Tissues Per Box",DAMAGED_BY_CARRIER,4,23.199999976336,8.99999999082,5.799999994084,IN,3.95068373504,LB,,,no,no,,[]
DMG,B09YLMRM4Y,,"Puffs Plus Lotion Facial Tissues, 10 Cubes, 56 Tissues Per Box",DAMAGED_BY_CARRIER,1,23.199999976336,8.99999999082,5.799999994084,IN,3.95068373504,LB,,,no,no,,[]
DMG,B09YLN9GX7,,"Charmin Ultra Soft Cushiony Touch Toilet Paper, 30 Family Mega Rolls = 153 Regular Rolls",DAMAGED_BY_CARRIER,5,20.399999979192,15.99999998368,10.399999989392,IN,11.0010668738,LB,,,no,no,,[]
DMG,B0CDZJ9JJC,30772088081.0,Charmin Ultra Soft Toilet Paper 6 Mega Rolls = 24 Regular Rolls,DAMAGED_BY_CARRIER,1,12.5199999872296,9.5699999902386,4.980368220950594,IN,1.54103121138,LB,,,no,no,,[]
DMG,B0CDZRPPQK,,"Charmin Ultra Soft Toilet Paper, 18 Mega XL Rolls = 108 Regular Rolls",DAMAGED_BY_CARRIER,1,16.99999998266,11.99999998776,10.99999998878,IN,7.79995482956,LB,,,no,no,,[]
DMG,B0CDZRPPQK,,"Charmin Ultra Soft Toilet Paper, 18 Mega XL Rolls = 108 Regular Rolls",DAMAGED_BY_CARRIER,1,16.99999998266,11.99999998776,10.99999998878,IN,7.79995482956,LB,,,no,no,,[]
DMG,B0CV4FQPY1,,"Bounty Select-A-Size Paper Towels, White, 8 Triple Rolls = 24 Regular Rolls",DAMAGED_BY_CARRIER,8,24.749999974755,13.399999986332,11.699999988066,IN,7.359912154608,LB,,,no,no,,[]
DMG,B0D467W46G,,"Puffs Ultra Soft Facial Tissues, 18 Cubes, 56 Facial Tissues Per Box",DAMAGED_BY_CARRIER,1,15.49999998419,13.49999998623,9.49999999031,IN,6.2501051277,LB,Missing,,no,no,,[Expiration date is missing. Please add expiration date]
DMG,B0D863TWCX,30772132197.0,"Charmin Ultra Strong Toilet Paper, 6 Mega Rolls = 24 Regular Rolls",DAMAGED_BY_CARRIER,1,12.2399999875152,10.0399999897592,4.8399999950632,IN,1.28088574222,LB,,,no,no,,[]
DMG,B0D87PKYN8,,"Charmin Toilet Paper Ultra Strong Clean Touch, 18 Family Mega XL Rolls = 126 Regular Rolls",DAMAGED_BY_CARRIER,4,17.399999982252,13.49999998623,11.49999998827,IN,7.40091813534,LB,,,no,no,,[]
DMG,B0D87QKHHP,,"Charmin Toilet Paper Ultra Soft Cushiony Touch, 18 Family Mega XL Rolls = 126 Regular Rolls",DAMAGED_BY_CARRIER,1,16.99999998266,13.49999998623,11.249999988525,IN,8.75014717878,LB,,,no,no,,[]
DMG,B0DQYP1L95,30772192351.0,"Bounty Quick-Size Paper Towels, White, 8 Family Triple Rolls = 27 Regular Rolls",DAMAGED_BY_CARRIER,2,24.75,13.5,11.75,IN,7.700999999999999,LB,,,no,no,,[]
DMG,B0DQYPYVB6,30772163344.0,"Bounty Select-A-Size Paper Towels, White, 8 Triple Rolls = 24 Regular Rolls",DAMAGED_BY_CARRIER,1,24.22,12.47,11.66,IN,6.85,LB,,,no,no,,[]
